artifact_type,source_queue,queue_category,priority,source_type,authority_family,source_file,source_sha256,source_path,chunk_id,authority_unit_id,authority_version_id,citation,normalized_citation,title,rule_number,section,policy_number,policy_chapter,document_type,display_status,answer_scope,version_status,effective_label,valid_from,valid_to,requires_qa_signoff,warning_category,current_value,proposed_value,proposed_action,decision_status,reviewer_role,reviewer_name,review_date,owner_escalation_required,production_impact,stop_condition,notes
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,f7da48f4-e16e-5151-802a-b40a8d511869,05585cca-6936-543f-9341-fd53b1c5aacc,Tenn. Code Ann. Sec. 37-2-710,tenncodeann372710,37-2-710. Agreements between this state and Indian tribes. [Effective when contingency met. See Compiler's Notes.],,37-2-710,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,08126e69-05dd-551f-8c49-850b5964053d,34511bb9-8602-5fd1-80eb-4f42d260e94e,Tenn. Code Ann. Sec. 37-2-702,tenncodeann372702,37-2-702. Declaration of policy. [Effective when contingency met. See Compiler's Notes.],,37-2-702,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,94491c9b-587c-5b63-9a73-b3e9c562ca14,4abd7cde-0bdf-5952-b8bc-b99a61ebcdfa,Tenn. Code Ann. Sec. 37-2-711,tenncodeann372711,37-2-711. Improper removal of child from custody  -  Declination of jurisdiction  -  Forthwith return of child  -  Danger exception. [Effective when contingency met. See Compiler's Notes.],,37-2-711,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit; high_risk=custody|removal,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; high_risk_domains=custody|removal; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,617bd69a-da5b-55b7-8c24-efa1316daf05,50492f15-d228-51b0-9479-7f27b52b91fc,Tenn. Code Ann. Sec. 37-2-708,tenncodeann372708,37-2-708. Return of custody. [Effective when contingency met. See Compiler's Notes.],,37-2-708,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit; high_risk=custody,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; high_risk_domains=custody; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,b6c9c960-a4e7-512e-b873-8aa472588b1e,543655d3-5a8b-5aad-b2da-28b6d7a85255,Tenn. Code Ann. Sec. 37-2-715,tenncodeann372715,37-2-715. Severability. [Effective when contingency met. See Compiler's Notes.],,37-2-715,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,bef2d489-0367-5313-80ec-ef147a22d537,575887f3-b1fd-5940-9037-718c075f696c,Tenn. Code Ann. Sec. 37-2-706,tenncodeann372706,37-2-706. Petition to court of competent jurisdiction to invalidate action upon showing of certain violations. [Effective when contingency met. See Compiler's Notes.],,37-2-706,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,a89c3b8e-bbd4-5cea-b087-962306315a76,5a3a092a-122a-5a20-9b0a-e5e8807bbc23,Tenn. Code Ann. Sec. 37-2-709,tenncodeann372709,37-2-709. Tribal affiliation information and other information for protection of rights from tribal relationship  -  Application of subject of adoptive,,37-2-709,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_text; high_risk=adoption,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=1; chunk_types=black_letter_text:1; warning_counts=effective_dated_version_text:1; high_risk_domains=adoption; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,08df0530-fe8e-5531-9ae8-050e1f426434,7151c5f3-a80f-5dab-8d7a-c54ca57f948a,Tenn. Code Ann. Sec. 37-2-704,tenncodeann372704,37-2-704. Pending court proceedings. [Effective when contingency met. See Compiler's Notes.],,37-2-704,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,75bff9d1-7c0b-5d4c-aee2-b842f9415e36,ccb56cfc-9e17-5b8f-855d-e4160649ce5e,Tenn. Code Ann. Sec. 37-2-701,tenncodeann372701,37-2-701. Part definitions. [Effective when contingency met. See Compiler's Notes.],,37-2-701,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
unknown_effectivity_patch_map,unknown_effectivity_versions.csv,unknown_effectivity_version,High,statute,tca_title_37,37_2_203_37_3_405.pdf,4505a32368dd82bcc6408f4fe16b2513cc23b2c810ae9254e0e21bc9d17153f5,Benchbook.ai Database Files/Title 37/37_2_203_37_3_405.pdf,,bdb13e47-df6e-5f0a-9721-d73cac3b794f,d169dcb1-ed17-574f-aaa4-09df9acae084,Tenn. Code Ann. Sec. 37-2-712,tenncodeann372712,37-2-712. Emergency removal or placement of child  -  Termination  -  Appropriate action. [Effective when contingency met. See Compiler's Notes.],,37-2-712,,,2,pending_extraction_qa,general_answer_authority,unknown_effectivity,Effective when contingency met. See Compiler's Notes.,,,true,unknown-effective-date issue; warnings=effective_dated_version_unit; high_risk=termination of parental rights|removal,display_status=pending_extraction_qa; answer_scope=general_answer_authority; version_status=unknown_effectivity,effectivity_pending_verification,verify_effective_date_or_exclude_from_production,pending_effectivity_review,Corpus administrator,,,true,exclude_from_display_until_resolved,Effective date or current-law status cannot be verified,chunk_count=3; chunk_types=annotation_candidate:1|black_letter_text:1|history:1; warning_counts=effective_dated_version_unit:3; high_risk_domains=removal|termination of parental rights; E14-B candidate only from unknown_effectivity_versions.csv; no corpus change applied
